Date,Task,Time_Before_Minutes,Time_After_Minutes,Time_Saved_Minutes
2025-02-16,Document Organization,45,0.5,44.5
2025-02-17,Subscription Audit,120,8,112
2025-02-18,Bill Tracker Setup,60,5,55
2025-02-18,Expense Analysis,180,3,177
2025-02-19,Dashboard Generation,240,0.75,239.25
2025-02-19,Tax Prep,480,8,472
2026-02-22,Document Organization (AI Auto-sort),125,3.26,121.74
2026-02-22,Bank Statement Analysis,360,8,352
2026-02-22,Credit Card Reconciliation,180,6,174
2026-02-22,Receipt Filing,160,4,156
2026-02-22,Subscription Audit,480,20,460
2026-02-22,Tax Document Organisation,180,5,175
2026-02-22,Utility Bill Tracking,60,2,58
